City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,baglung,28.2719,83.5898,22.64,94,93,0.93,NP,1723171116
150,iqaluit,63.7506,-68.5145,9.85,87,100,2.57,CA,1723171117
151,badger,64.8,-147.5333,18.95,80,75,3.6,US,1723171119
152,kati,12.7441,-8.0726,23.02,94,100,1.33,ML,1723171120
153,el obeid,13.1842,30.2167,24.2,81,100,3.83,SD,1723171122
154,vallenar,-28.5708,-70.7581,15.55,41,0,0.98,CL,1723171124
155,sal rei,16.1833,-22.9167,25.12,78,84,1.96,CV,1723171125
156,dzilam gonzalez,21.2833,-88.9333,25.42,89,51,1.51,MX,1723171126
157,moscow,55.7522,37.6156,17.59,78,100,2.61,RU,1723170531
158,lala,7.9745,123.7458,32.31,56,97,2.28,PH,1723171128
159,holualoa,19.6228,-155.9522,27.91,73,40,4.63,US,1723170740
160,port saint john's,-31.6229,29.5448,17.14,52,0,2.34,ZA,1723171131
161,macapa,0.0389,-51.0664,27.99,83,40,3.6,BR,1723170946
162,oliver,49.1831,-119.5524,30.95,33,79,1.03,CA,1723171133
163,nova sintra,14.8667,-24.7167,26.03,81,10,3.73,CV,1723171037
164,tolanaro,-25.0319,46.9987,20.04,83,20,9.77,MG,1723170894
165,hasaki,35.7333,140.8333,28.97,78,2,6.88,JP,1723171137
166,ust-nera,64.5667,143.2,18.45,55,58,2.94,RU,1723171138
167,cartagena del chaira,1.3349,-74.8429,23.14,90,73,1.19,CO,1723171140
168,portland,45.5234,-122.6762,32.57,42,5,1.79,US,1723170920
169,hithadhoo,-0.6,73.0833,28.21,71,100,3.23,MV,1723170995
170,zaozersk,69.4005,32.4476,13.03,58,12,3.25,RU,1723171144
171,nha trang,12.25,109.1833,32.33,54,87,1.13,VN,1723170537
172,kayangel,8.0823,134.7173,28.45,74,99,3.43,PW,1723171146
173,coquimbo,-29.9533,-71.3436,12.21,63,0,2.57,CL,1723171069
174,tarauaca,-8.1614,-70.7656,25.06,67,29,0.66,BR,1723171148
175,ontario,34.0633,-117.6509,28.85,41,0,5.81,US,1723171149
176,usogorsk,63.4106,48.6872,14.31,64,7,1.6,RU,1723171150
177,ndele,8.4109,20.6473,20.18,95,100,0.75,CF,1723171152
178,vila franca do campo,37.7167,-25.4333,18.27,99,0,2.01,PT,1723170673
179,sao vicente,-23.9631,-46.3919,20.59,83,92,2.59,BR,1723171116
180,minas de marcona,-15.2119,-75.1103,9.95,91,74,5.51,PE,1723171156
181,ryotsu-minato,38.0833,138.4333,27.56,70,24,3.17,JP,1723171036
182,outjo,-20.1167,16.15,14.03,28,0,2.47,NA,1723171158
183,manuguru,17.981,80.7547,27.1,85,81,2.15,IN,1723171159
184,magadan,59.5667,150.8,14.13,87,72,3.29,RU,1723171161
185,port mathurin,-19.6833,63.4167,22.43,73,51,9.66,MU,1723171162
186,hotan,37.0997,79.9269,29.09,22,0,4.98,CN,1723171163
187,bethel,41.3712,-73.414,19.45,91,100,3.6,US,1723171164
188,nova xavantina,-14.6667,-52.35,22.17,38,3,0.73,BR,1723170703
189,pisco,-13.7,-76.2167,16.03,82,100,4.12,PE,1723171166
190,bogatoye,53.0601,51.3325,18.33,79,100,1.17,RU,1723171167
191,roma,43.2128,-75.4557,18.08,96,100,2.57,US,1723171168
192,kapuskasing,49.4169,-82.4331,16.05,100,100,3.6,CA,1723171170
193,puerto aysen,-45.4,-72.7,5.05,100,100,1.92,CL,1723171171
194,lamu,-2.2717,40.902,23.74,77,48,5.65,KE,1723171172
195,mil'kovo,55.6078,37.7956,18.52,76,100,2.63,RU,1723171173
196,georgetown,5.4112,100.3354,31.96,70,20,1.54,MY,1723171175
197,batang,-6.4846,110.7083,30.79,53,0,1.93,ID,1723171177
198,narvik,68.4384,17.4272,17.92,72,92,2.74,NO,1723171178
199,rocky mountain house,52.3668,-114.9188,19.06,52,0,2.06,CA,1723171180
200,elko,41.0002,-115.5012,28.13,16,5,3.13,US,1723171181
201,bengbu,32.9408,117.3608,33.6,58,82,3.57,CN,1723171182
202,daru,-9.0763,143.2092,25.72,84,96,7.28,PG,1723171183
203,college,64.8569,-147.8028,17.97,74,100,2.57,US,1723171184
204,malango,-2.9627,119.9001,26.36,61,31,2.14,ID,1723170829
205,jinka,5.65,36.65,17.88,80,88,1.22,ET,1723171187
206,acarau,-2.8856,-40.12,25.19,82,0,7.74,BR,1723171188
207,porto novo,6.4965,2.6036,23.04,87,100,2.96,BJ,1723171189
208,mana,5.6592,-53.7767,24.98,92,76,4.03,GF,1723171001
209,trairi,-3.2778,-39.2689,24.96,80,4,5.32,BR,1723171167
210,la ronge,55.1001,-105.2842,20.12,42,75,2.06,CA,1723171192
211,san julian,21.0167,-102.1667,16.71,69,53,1.98,MX,1723171193
212,vorgashor,67.5833,63.95,12.1,63,8,2.06,RU,1723171194
213,enewetak,11.3474,162.3373,29.21,73,42,6.46,MH,1723171196
214,malabar,-33.9667,151.25,19.87,62,0,2.57,AU,1723171197
215,punta gorda,26.9298,-82.0454,29.43,80,27,3.13,US,1723171198
216,dudinka,69.4058,86.1778,12.67,54,15,8.26,RU,1723171199
217,sisimiut,66.9395,-53.6735,4.83,92,94,1.64,GL,1723171200
218,touros,-5.1989,-35.4608,22.93,90,6,4.68,BR,1723171202
219,beidao,34.5686,105.8933,23.86,65,100,1.94,CN,1723171204
220,myeik,12.4333,98.6,28.99,74,53,1.92,MM,1723171205
221,susuman,62.7833,148.1667,17.24,43,3,1.1,RU,1723171206
222,ubari,26.5921,12.7805,30.92,17,29,1.76,LY,1723171207
223,al kut,32.5147,45.819,35.97,13,0,8.34,IQ,1723171209
224,castillos,-34.1667,-53.8333,6.31,82,100,3.49,UY,1723171211
225,abagur,53.7308,87.2526,18.05,96,100,2.63,RU,1723171212
226,rumoi,43.9344,141.6428,24.32,92,100,0.54,JP,1723171213
227,howrah,22.5892,88.3103,29.0,89,75,5.66,IN,1723171214
228,hamilton,39.1834,-84.5333,25.99,77,100,1.34,US,1723171193
229,talcahuano,-36.7167,-73.1167,6.82,87,20,2.06,CL,1723171216
230,mejit,10.2753,170.8646,28.52,77,84,6.17,MH,1723171218
231,awjilah,29.1081,21.2869,27.56,44,0,2.51,LY,1723171219
232,weno,7.4515,151.8468,30.97,89,100,2.06,FM,1723171220
233,busayra,30.7376,35.6078,21.32,40,0,1.77,JO,1723171221
234,laojunmiao,39.8333,97.7333,18.01,45,76,12.35,CN,1723171222
235,khandyga,62.6667,135.6,22.04,47,15,1.14,RU,1723170701
236,ribeira grande,38.5167,-28.7,22.65,87,3,2.24,PT,1723171224
237,vadso,70.0744,29.7487,12.09,76,0,1.03,NO,1723171227
238,rongelap,11.1635,166.8941,28.57,76,66,6.78,MH,1723171071
239,dahab,28.501,34.5134,31.9,35,3,3.99,EG,1723171230
240,zhezqazghan,47.7833,67.7667,21.32,78,75,3.0,KZ,1723171231
241,quellon,-43.1167,-73.6167,7.2,92,100,5.34,CL,1723170721
242,xai-xai,-25.0519,33.6442,19.56,77,0,5.63,MZ,1723171234
243,glen innes,-29.7333,151.7333,16.65,39,5,0.53,AU,1723171235
244,protaras,35.0125,34.0583,25.55,94,0,0.45,CY,1723171236
245,brookings,44.3114,-96.7984,16.0,63,100,4.63,US,1723170547
246,yulinshi,38.2906,109.7494,22.4,68,100,7.72,CN,1723171238
247,bridgewater,44.3835,-64.5155,16.17,90,42,1.03,CA,1723171132
248,nemuro,43.3236,145.575,20.43,91,81,5.12,JP,1723171240
249,swedru,5.5371,-0.6998,22.01,92,95,2.14,GH,1723171242
250,ta`u,-14.2336,-169.5144,25.33,74,87,10.22,AS,1723171073
251,mermoz boabab,14.7065,-17.4758,27.42,84,79,4.85,SN,1723171244
252,aur,8.1499,171.1687,28.57,74,17,4.79,MH,1723171245
253,coyhaique,-45.5752,-72.0662,3.29,99,100,2.98,CL,1723171246
254,vertientes,21.2594,-78.1464,24.74,89,14,1.69,CU,1723171247
255,tura,25.5198,90.2201,25.12,93,100,2.48,IN,1723171248
256,onega,63.9061,38.1404,13.91,68,55,1.81,RU,1723171249
257,smithers,54.7804,-127.1743,30.18,23,75,0.0,CA,1723171251
